scheme,settings,corpus,compression speed (MB/s),compression speed standard deviation (MB/s),decompression speed (MB/s),decompression speed standard deviation (MB/s),compression ratio
uncompressed,,canterbury,4164.440841500847,639.5416477178397,6515.560195119592,1235.3270263615684,1.0
uncompressed,,canterbury large,5739.743378902008,311.7875523753849,6689.18957631729,565.4761958298044,1.0
uncompressed,,silesia,7534.398973038962,140.26062956374165,7593.257824316383,257.18431154395165,1.0
lzzzz,frame / Default,canterbury,623.8153263725517,19.372942058745384,2588.067416400629,318.4315437142167,2.2883790908632027
lzzzz,frame / Default,canterbury large,490.1103457920519,4.963218994539521,1569.7676566008913,101.72164817831101,1.9238827687268338
lzzzz,frame / Default,silesia,612.9868270232616,8.745845869728251,2145.5619034199485,63.086869014309904,2.1002172640462584
lzzzz,frame / High,canterbury,21.087875734576862,0.1270181151802685,2652.7546070663484,152.32624887622964,3.010129849267757
lzzzz,frame / High,canterbury large,9.292881737236137,0.12079339637651386,1930.080320208087,32.81368218160897,2.836708096559315
lzzzz,frame / High,silesia,24.575174788491577,0.187372353368188,2161.5119567579463,67.24145181680699,2.7301780358784176
lzzzz,frame / Max,canterbury,2.7121990765389836,0.0157769159413226,2606.6545340378457,90.6833098557654,3.0223288882007213
lzzzz,frame / Max,canterbury large,3.8188351132965925,0.018711013596965115,1939.0677192067494,143.06117073895905,2.960389686011695
lzzzz,frame / Max,silesia,12.002838123286203,0.1523482386425125,2085.3608128126125,128.49878428404287,2.741990107939835
lzzzz,block / normal / acceleration 0,canterbury,619.8701414653664,6.721265313322311,3604.137708740356,559.1292900704276,2.2892457451045387
lzzzz,block / normal / acceleration 0,canterbury large,492.019188306746,5.879744723362355,2022.257639316957,66.48571360378479,1.924378751182315
lzzzz,block / normal / acceleration 0,silesia,647.5183363090717,4.206746288731495,2808.165753364755,29.894770543243,2.100897586107615
lzzzz,block / hc / acceleration 0,canterbury,18.960431210747558,0.2149743922819091,3660.5392258577986,549.3191963747214,3.0018005779791235
lzzzz,block / hc / acceleration 0,canterbury large,6.1508883825993745,0.04681789604774399,2393.59465087879,81.18076461914582,2.849173918227466
lzzzz,block / hc / acceleration 0,silesia,34.74448699411864,0.29586491774806783,2724.5903530104074,55.06809873832803,2.721217431069306
lzzzz,block / normal / acceleration 1,canterbury,605.0169740922926,24.600134968730263,3596.8927836648795,511.35403717206356,2.2892457451045387
lzzzz,block / normal / acceleration 1,canterbury large,491.7698649683692,8.986722237293067,2044.4121752590015,57.53952690464472,1.924378751182315
lzzzz,block / normal / acceleration 1,silesia,626.6996285852748,11.660506847662294,2768.2843801144822,53.25479811273431,2.100897586107615
lzzzz,block / hc / acceleration 1,canterbury,130.33382262261946,2.570440876682612,3474.4807688146893,486.72904814213484,2.7793825361070623
